epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,26.6928,1.9691,3.61745,6.53831,2.11484,0,0.02222,0.03571,0.0096,0.00311,0.00158,0.41964,0.00155,0.00047,2.21156,5.52921,7.60543,2.54351,0,8.335e-05,8.335e-05,8.335e-05
2,29.7146,1.65594,2.81292,5.10565,1.8043,0,0.74332,0.25,0.29033,0.13072,0.71006,0.25,0.23053,0.10356,1.46209,1.69625,7.20326,1.73975,0,0.000181555,0.000181555,0.000181555
3,33.1545,0.94349,1.2322,2.47823,1.16528,0,0.59122,0.54464,0.64233,0.47307,0.26676,0.41964,0.267,0.16015,1.11666,5.48816,3.51728,1.49478,0,0.000277779,0.000277779,0.000277779
4,36.3388,0.87979,1.09737,1.96659,1.08336,0,0.69947,0.5,0.6123,0.34191,0.69947,0.5,0.60561,0.3314,1.45009,2.9925,4.27073,1.95744,0,0.000372023,0.000372023,0.000372023
5,39.7167,0.85723,0.98517,1.43091,1.02109,0,0.69124,0.57602,0.7148,0.49276,0.20421,0.1875,0.11184,0.03845,1.26558,15.9733,3.05804,1.92883,0,0.000464286,0.000464286,0.000464286
6,42.853,0.83872,0.89816,1.33905,1.01501,0,0.54388,0.60595,0.51105,0.34486,0.44318,0.35692,0.29166,0.11836,1.3935,11.4244,3.0098,1.92258,0,0.000554569,0.000554569,0.000554569
7,45.9674,0.77715,0.87056,1.09369,1.02103,0,0.20654,0.13029,0.09762,0.04603,0,0,0,0,1.95607,13.7911,15.4657,2.66139,0,0.000642872,0.000642872,0.000642872
8,49.1499,0.82435,0.94533,1.13026,1.04096,0,0.01379,0.10714,0.00859,0.00275,0.00653,0.03571,0.00235,0.00064,2.97411,7.9766,26.3592,3.95766,0,0.000729194,0.000729194,0.000729194
9,52.2817,0.70292,0.78251,0.93589,0.99136,0,0.16377,0.40179,0.1367,0.06911,0.15969,0.36607,0.12515,0.04527,2.0215,4.15066,4.82816,2.86943,0,0.000813536,0.000813536,0.000813536
10,55.4667,0.75921,0.71992,0.93944,1.04252,0,0.43013,0.75,0.58838,0.35401,0.42272,0.67857,0.57375,0.23437,1.25807,3.81824,5.34346,1.77112,0,0.000895897,0.000895897,0.000895897
11,58.6535,0.80071,0.85922,0.96291,1.04427,0,0.60517,0.3125,0.3622,0.22565,0.60517,0.3125,0.35632,0.20064,1.67764,3.05681,3.28512,2.28585,0,0.000976279,0.000976279,0.000976279
12,61.746,0.76777,0.76307,0.92099,1.0386,0,0.35149,0.33036,0.24003,0.17041,0.32454,0.25893,0.1937,0.14723,2.48387,4.80296,4.09665,3.02138,0,0.00105468,0.00105468,0.00105468
13,64.8481,0.88871,0.77763,0.98693,1.05163,0,0.08496,0.23214,0.04308,0.02173,0.08496,0.23214,0.04523,0.0171,2.37634,4.30869,4.35968,2.59248,0,0.0011311,0.0011311,0.0011311
14,68.0439,0.8127,0.86019,0.86039,1.03392,0,0.034,0.10714,0.01858,0.0094,0.02644,0.07143,0.02606,0.00697,2.67917,12.1997,3.83646,3.08926,0,0.00120554,0.00120554,0.00120554
15,71.1576,0.86393,0.84878,0.84943,1.06589,0,0.25003,0.29464,0.21318,0.12958,0.24543,0.25893,0.18386,0.08789,2.53878,7.1588,9.84487,3.3575,0,0.001278,0.001278,0.001278
16,74.3459,1.01969,0.96371,1.14455,1.16312,0,0.0161,0.10714,0.01149,0.00467,0.02029,0.14286,0.01592,0.00415,2.14509,9.30649,8.37172,2.94125,0,0.00134848,0.00134848,0.00134848
17,77.4304,0.86763,0.78833,0.96541,1.11529,0,0.10674,0.29464,0.05927,0.04261,0.11881,0.16071,0.05586,0.03664,2.36508,44.3695,12.2965,4.1227,0,0.00140295,0.00140295,0.00140295
18,80.5956,0.89148,0.75122,0.90819,1.05775,0,0.08706,0.13393,0.03678,0.01885,0.04973,0.25893,0.01993,0.01143,2.3826,103.519,6.72401,5.17416,0,0.00138644,0.00138644,0.00138644
19,83.7423,0.78955,0.77694,0.88926,1.03563,0,0.03009,0.09821,0.0056,0.00431,0.02648,0.0625,0.00462,0.00408,2.81471,77.6656,7.55083,4.05606,0,0.00136994,0.00136994,0.00136994
20,86.9062,0.81387,0.6985,0.8511,1.03737,0,0.5407,0.07143,0.01752,0.00585,0.00125,0.23214,0.00202,0.00143,2.54875,10.6323,5.56897,2.89054,0,0.00135344,0.00135344,0.00135344
21,90.0485,0.85609,0.90257,0.88122,1.02517,0,0.01823,0.07143,0.00688,0.00127,0.00958,0.07143,0.00233,0.00031,3.28071,101.448,7.19909,4.28274,0,0.00133693,0.00133693,0.00133693
22,93.228,0.82477,0.73084,0.86698,1.04636,0,0.00164,0.40179,0.00137,0.00034,0,0,0,0,4.02151,575.409,27.2249,9.20598,0,0.00132043,0.00132043,0.00132043
23,96.3594,0.76392,0.77272,0.74821,0.99734,0,0.00319,0.25,0.00278,0.00081,0.00294,0.03571,0.00035,7e-05,3.30668,205.82,19.1075,4.99993,0,0.00130393,0.00130393,0.00130393
24,99.5266,0.74183,0.75055,0.70343,0.98438,0,0.0372,0.10714,0.02554,0.01399,0.0372,0.10714,0.02189,0.00583,2.02905,31.4503,6.34034,2.33374,0,0.00128742,0.00128742,0.00128742
25,102.591,0.71677,0.74257,0.75385,0.98138,0,0.39914,0.41071,0.26783,0.1765,0.42814,0.44643,0.312,0.16994,1.72478,6.15023,3.33337,2.09767,0,0.00127092,0.00127092,0.00127092
26,105.719,0.72345,0.69799,0.71071,0.98733,0,0.69956,0.59241,0.74179,0.48331,0.68865,0.5545,0.72286,0.4659,1.25174,1.8528,2.88892,1.56904,0,0.00125442,0.00125442,0.00125442
27,108.979,0.68191,0.62967,0.65241,0.95522,0,0.86276,0.34677,0.59129,0.37205,0.91217,0.375,0.5834,0.33445,1.15455,2.62137,2.63237,1.41991,0,0.00123791,0.00123791,0.00123791
28,112.186,0.67214,0.60762,0.6748,0.94264,0,0.76409,0.71917,0.87487,0.64756,0.76409,0.71917,0.83862,0.59021,0.86316,1.51034,1.92018,1.18923,0,0.00122141,0.00122141,0.00122141
29,115.57,0.68385,0.64419,0.64453,0.9574,0,0.82303,0.92857,0.93301,0.72908,0.82303,0.92857,0.93301,0.59734,0.73716,1.45091,1.526,1.06042,0,0.00120491,0.00120491,0.00120491
30,118.885,0.69145,0.67552,0.657,0.9786,0,0.76495,0.83929,0.84454,0.69334,0.76495,0.83929,0.84454,0.49394,0.77185,1.67763,1.41048,1.06133,0,0.0011884,0.0011884,0.0011884
31,122.003,0.66313,0.6826,0.68341,0.97501,0,0.73308,0.80357,0.81971,0.64467,0.7287,0.80357,0.77022,0.45398,0.86209,1.8659,1.19892,1.2855,0,0.0011719,0.0011719,0.0011719
32,125.208,0.6765,0.6468,0.64368,0.94476,0,0.86227,0.90179,0.9625,0.79499,0.82631,0.86607,0.91904,0.70951,0.60055,0.80316,1.1321,1.0036,0,0.0011554,0.0011554,0.0011554
33,128.61,0.62685,0.68672,0.61038,0.93413,0,0.89021,0.83036,0.94061,0.76252,0.84805,0.79464,0.87503,0.62712,0.68029,0.85967,0.95169,1.08361,0,0.00113889,0.00113889,0.00113889
